label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
0	599 m	-0.3357	volleyball	bird	1.3467	785	0.6843	885 N	0.0195	0.7998	tennis	541	437 m^3	0.3943
1	1116 m	-0.0174	baseball	dog	1.0728	1171	0.6589	643 N	-0.0186	1.083	RUNNING	?	330 m^3	1.3235
1	564 m	-0.0254	soccer	dog	1.0894	157	1.4073	453 N	0.2163	0.896	badminton	822	790 m^3	1.159
3	906 m	0.5829	NULL	hamster	0.1177	997	0.3786	642 N	n/a	0.9268	boxing	671	582 m^3	0.3462
0	832 m	0.0268	running	reptile, bird	1.2839	880	1.3748	1259 N	1.1358	0.0258	football	679	482 m^3	0.05
1	747 m	-0.0925	track & field	bird, guinea pig	1.7745	833	0.8539	394 N	-0.2147	1.1523	running	785	411 m^3	1.3214
2	298 m	0.1434	ice hockey	pig	1.3793	898	0.4924	1364 N	-0.2023	0.3272	track & field	673	1515 m^3	0.7573
3	1187 m	0.4081	motor sports	hamster	-0.2845	517	0.2378	49 N	0.9964	0.8134	boxing	1531	718 m^3	0.8291
4	496 m	-0.2925	badminton	rat, ferret, chicken	0.9809	544	0.2542	416 N	0.5948	0.2025	volleyball	474	824 m^3	-0.0968
0	1413 m	0.4785	running	bird, guinea pig	0.7521	119	0.8505	1031 N	-0.1601	0.4232	motor sports	850	390 m^3	0.7278
4	1059 m	0.2615	badminton	rat	1.3895	624	0.3905	785 N	0.4636	0.7028	boxing	472	1304 m^3	-0.2333
3	1112 m	0.7794	basketball	hamster	0.4514	511	0.5954	354 N	0.8479	1.5057	soccer	418	85 m^3	0.1557
4	777 m	1.0831	football	chicken	1.1476	206	0.1312	1164 N	0.4572	0.9977	baseball	685	1252 m^3	0.3503
4	1121 m	0.3496	football	rabbit, fish, ferret	1.2015	39	0.7	436 N	1.3266	1.4403	volleyball	453	1199 m^3	-0.2222
1	1207 m	-0.1356	soccer	cat	1.2815	1212	0.8404	431 N	-0.4183	0.3958	golf	560	643 m^3	0.3479
4	1584 m	0.6008	football	fish, ferret, chicken, rat	1.279	-105	0.86	360 N	0.5131	0.4991	baseball	831	711 m^3	-0.1038
0	1036 m	-0.0988	golf	reptile	0.5656	18	0.9571	1162 N	0.7187	0.6781	football	368	1040 m^3	0.9822
4	NULL	0.4062	motor sports	rabbit	0.8341	236	0.4674	204 N	0.5633	1.5132	baseball	167	615 m^3	0.1671
2	588 m	0.7715	track & field	pig	1.0087	724	0.8284	416 N	0.5614	0.7453	track & field	836	596 m^3	0.3945
1	1125 m	0.3445	track & field	dog	0.7839	453	0.7295	802 N	0.0035	1.327	running	1032	1845 m^3	0.2778
3	1114 m	0.2262	basketball	n/a	-0.3787	343	0.0282	616 N	1.1444	0.9717	boxing	1039	116 m^3	0.8985
0	1058 m	0.3259	volleyball	bird	1.0415	1042	0.6251	1046 N	0.2756	0.3969	motor sports	794	1403 m^3	0.7542
2	174 m	0.6205	ice hockey	pig	0.0421	1096	1.0741	731 N	0.0598	0.765	ice hockey	593	1006 m^3	0.7402
1	816 m	0.3565	ice hockey	cat	0.9593	464	0.7513	622 N	0.1086	0.6684	tennis	741	810 m^3	0.1494
3	735 m	0.8205	motor sports	hamster	0.4025	NULL	-0.1807	-98 N	1.0773	1.0154	soccer	821	649 m^3	-0.0029
1	763 m	0.3945	baseball	dog	0.9742	992	0.6857	597 N	0.4742	1.3024	basketball	1275	1492 m^3	1.0045
0	761 m	0.0496	golf	bird, reptile	1.3222	1257	1.2406	858 N	0.4527	0.8747	tennis	486	1082 m^3	-0.2137
3	1195 m	0.715	basketball	hamster	0.7132	459	0.4726	-59 N	1.1087	1.0343	motor sports	677	672 m^3	0.6272
4	804 m	0.6712	football	rabbit	1.0502	-12	0.4193	726 N	0.6232	1.1312	baseball	1033	765 m^3	0.014
2	1015 m	1.2216	ice hockey	pig	0.7831	747	0.4264	392 N	0.2271	0.6074	ice hockey	696	1164 m^3	1.848
3	654 m	1.2221	motor sports	hamster	-0.1662	357	-0.2211	140 N	1.3162	0.456	boxing	1106	45 m^3	0.6989
4	1299 m	1.0755	motor sports	chicken, rat, rabbit	1.1587	699	0.3282	703 N	0.6679	1.2223	baseball	311	545 m^3	-0.0271
3	958 m	-0.1136	basketball	hamster	0.1571	465	-0.0758	135 N	0.7088	0.3637	soccer	970	365 m^3	0.9764
0	981 m	0.3305	running	guinea pig	1.1855	-241	0.9882	1108 N	0.591	0.4353	tennis	949	641 m^3	0.4945
1	647 m	0.7336	baseball	dog	0.5192	920	1.1384	305 N	0.1096	0.6977	golf	1055	1413 m^3	0.938
4	620 m	1.2944	badminton	NULL	0.9618	57	0.7548	860 N	0.845	0.7375	volleyball	-21	1012 m^3	-0.0477
3	724 m	0.3638	golf	hamster	0.3728	516	0.7144	422 N	0.9173	0.2601	track & field	833	542 m^3	0.773
3	700 m	n/a	basketball	hamster	0.1161	968	-0.3368	-4 N	0.9223	0.1318	boxing	847	34 m^3	0.2759
3	1411 m	0.2618	basketball	hamster	0.6085	476	-0.0708	252 N	0.758	0.3389	soccer	1367	689 m^3	0.7925
4	895 m	0.7027	motor sports	chicken, rat, fish	0.8421	20	0.4683	270 N	0.1944	0.8992	baseball	541	480 m^3	-0.1018
4	956 m	0.7888	football	ferret, rabbit	1.4421	279	0.1184	638 N	0.1315	1.4276	volleyball	-44	1523 m^3	0.3384
4	583 m	0.6441	football	fish, chicken	0.8049	-141	0.6235	1069 N	0.5332	1.0433	baseball	723	686 m^3	-0.0904
1	1310 m	0.4663	baseball	dog	0.9582	1054	0.5243	819 N	-0.2249	0.5635	basketball	647	1601 m^3	1.3031
3	1224 m	0.3885	basketball	hamster	0.5272	1313	0.0691	719 N	1.598	1.3337	soccer	1016	-2 m^3	0.8105
0	948 m	-0.1555	volleyball	cat	0.4448	503	0.733	783 N	0.9004	-0.0362	tennis	632	1503 m^3	0.441
1	543 m	0.2535	baseball	dog	0.6796	513	0.6987	25 N	-0.3012	1.0541	motor sports	762	281 m^3	0.5095
2	260 m	0.7219	ice hockey	reptile	0.3308	671	0.27	961 N	-0.0358	1.2458	ice hockey	1008	1201 m^3	0.6749
0	1356 m	0.8259	running	reptile	1.2773	714	0.8895	1432 N	0.1859	0.1766	soccer	900	1463 m^3	0.7159
0	957 m	-0.415	volleyball	Reptile	1.1539	687	0.8916	401 N	0.7626	0.0738	tennis	847	625 m^3	1.1274
4	1336 m	1.0264	motor sports	chicken, fish, rat	1.3443	613	0.6791	784 N	0.6436	1.3936	volleyball	-150	602 m^3	-0.4958
1	963 m	0.4951	soccer	dog	0.7395	578	1.51	611 N	0.0932	1.8811	golf	803	1098 m^3	1.0948
2	377 m	0.3597	ice hockey	pig	0.7181	504	0.3201	1175 N	0.0785	0.5148	track & field	574	1287 m^3	1.0768
4	1042 m	0.9278	football	ferret, rat, fish, rabbit	1.2454	-228	0.5457	757 N	1.075	0.8034	volleyball	750	929 m^3	0.2968
1	794 m	0.4041	track & field	cat	1.0408	415	1.0719	772 N	0.3343	0.5338	running	621	695 m^3	1.2885
0	1032 m	-0.215	running	guinea pig, reptile	1.2121	482	1.2165	864 N	0.2855	0.4542	tennis	456	1616 m^3	0.133
0	1041 m	0.3895	running	bird	0.9246	1043	0.8902	1287 N	0.466	0.0242	tennis	413	807 m^3	0.3785
1	1233 m	0.0757	football	dog	0.5047	641	0.4543	431 N	0.1322	1.0888	badminton	1438	732 m^3	1.1113
0	1548 m	-0.2382	volleyball	guinea pig, reptile	1.1519	569	1.6125	1726 N	0.3982	0.4755	football	331	793 m^3	0.8213
2	847 m	0.4527	football	pig	1.1145	270	0.7427	987 N	0.17	0.9843	ice hockey	867	1537 m^3	1.1073
1	919 m	0.1861	soccer	dog	0.5689	1005	0.8826	316 N	0.4712	0.8182	badminton	844	617 m^3	1.6365
4	1119 m	0.6199	motor sports	rabbit	1.015	-54	0.6869	734 N	1.3397	1.1862	baseball	725	343 m^3	-0.0533
1	1051 m	0.521	baseball	cat	0.8132	988	1.1374	610 N	0.5244	1.1473	golf	1173	731 m^3	1.3394
2	535 m	0.5716	ice hockey	pig	1.1015	771	0.737	537 N	0.4231	1.0471	track & field	700	955 m^3	0.8587
4	938 m	1.1297	football	rabbit, chicken, ferret	0.97	352	-0.1444	1064 N	0.6608	1.0213	volleyball	624	89 m^3	0.0327
1	1291 m	0.3706	n/a	cat	0.9919	1688	0.9913	622 N	0.5799	1.0865	running	937	369 m^3	0.496
2	559 m	0.3451	ice hockey	reptile, bird	1.255	819	0.5777	284 N	0.3688	0.6097	ice hockey	961	1235 m^3	0.9883
3	1033 m	0.195	motor sports	hamster	0.7515	546	0.1142	205 N	1.1222	1.1885	basketball	1154	753 m^3	0.2339
3	1157 m	0.0521	None	hamster	0.4621	311	-0.0275	148 N	0.7743	0.7253	soccer	757	493 m^3	0.3756
1	1036 m	-0.0159	baseball	dog	0.9115	1229	0.8691	326 N	0.0878	1.081	badminton	1310	785 m^3	1.0804
3	750 m	0.767	motor sports	hamster	0.2233	991	0.2991	473 N	0.7867	1.2137	soccer	788	117 m^3	1.1239
2	1050 m	0.6647	ICE HOCKEY	pig	0.9967	242	0.5354	-28 N	0.2029	1.1848	track & field	631	925 m^3	0.7392
2	701 m	0.4909	badminton	pig	0.5596	265	0.5873	311 N	0.5499	1.2821	ice hockey	1505	732 m^3	0.7516
3	1315 m	-0.1387	None	hamster	-0.0238	1021	0.0012	100 N	1.1558	0.5423	boxing	1202	611 m^3	0.5244
2	246 m	0.8897	football	pig	1.2594	759	0.5106	461 N	-0.2339	1.127	track & field	1380	1461 m^3	0.6128
2	55 m	0.2743	ice hockey	PIG	1.0483	759	0.6305	673 N	0.0382	1.1089	?	1021	536 m^3	1.1146
1	1127 m	0.0854	soccer	dog	0.3836	948	0.991	792 N	0.025	1.3049	basketball	1118	674 m^3	1.1273
3	1185 m	0.6617	basketball	hamster	0.5127	753	0.1029	-183 N	0.8053	0.9277	boxing	1055	185 m^3	0.2567
1	1409 m	0.345	soccer	hamster	1.4121	887	1.0996	24 N	-0.5928	0.8072	badminton	637	707 m^3	0.9985
2	246 m	1.1669	ice hockey	pig	0.8349	1056	0.2845	961 N	0.0634	0.8136	track & field	719	1655 m^3	0.1095
1	1172 m	0.4272	track & field	cat	1.3121	1019	1.0342	180 N	0.4359	0.9611	golf	395	1276 m^3	1.5685
2	-113 m	1.0503	ice hockey	pig	1.1392	112	1.5813	1345 N	0.8003	1.2516	track & field	889	1336 m^3	0.3796
0	1390 m	0.8728	ice hockey	Bird	0.7053	628	0.9775	822 N	0.6651	-0.1697	football	1228	1322 m^3	0.5175
3	843 m	0.4985	motor sports	hamster	-0.0827	1057	0.4636	-167 N	0.8974	1.2226	boxing	1166	272 m^3	0.733
1	880 m	0.1819	track & field	dog	1.3157	902	0.8374	354 N	0.2729	0.7436	golf	1554	498 m^3	0.518
1	681 m	-0.1161	golf	dog	0.846	307	0.9697	1075 N	0.2347	1.2036	basketball	1252	586 m^3	0.3384
0	955 m	-0.1676	running	hamster	1.2581	638	0.875	270 N	0.6035	0.71	football	302	823 m^3	-0.2595
1	271 m	0.4443	track & field	CAT	0.8543	677	0.4078	23 N	0.2574	0.9484	basketball	1137	1133 m^3	1.1122
0	1179 m	-0.1829	volleyball	bird, reptile	0.9103	892	0.2165	1075 N	0.8209	0.7482	tennis	412	1497 m^3	0.683
3	1201 m	0.4026	motor sports	rat, rabbit	0.961	802	0.081	-404 N	0.5329	0.9893	boxing	806	365 m^3	0.906
3	539 m	0.2727	motor sports	HAMSTER	0.6405	41	0.1975	-187 N	0.7743	0.3605	boxing	1085	-269 m^3	0.4789
3	653 m	0.4832	basketball	hamster	1.0502	700	0.3019	-29 N	0.9835	0.6823	boxing	699	-388 m^3	NULL
0	835 m	-0.0509	soccer	reptile, guinea pig	1.6167	680	1.0933	548 N	0.3709	0.451	football	409	1046 m^3	0.4014
2	443 m	0.6806	ice hockey	pig	0.4975	1006	1.0658	636 N	0.0193	0.5609	ice hockey	895	551 m^3	0.4667
1	949 m	-0.1251	track & field	dog	0.927	379	0.6514	147 N	-0.2837	1.0635	soccer	425	672 m^3	0.929
1	299 m	1.2394	baseball	ferret, chicken, fish, rat	1.3312	26	0.9125	356 N	0.1298	1.3292	basketball	570	437 m^3	1.2559
3	966 m	0.1872	motor sports	hamster	0.2849	329	-0.4619	93 N	0.9216	1.0726	soccer	506	112 m^3	0.9937
1	214 m	0.5399	track & field	dog	1.0439	1798	1.1178	1066 N	0.3016	1.1681	running	1080	788 m^3	1.3403
4	1244 m	0.2641	football	chicken	0.7932	265	0.4996	1008 N	0.6257	1.2367	baseball	-126	251 m^3	0.4938
0	1029 m	0.3048	golf	bird	0.8285	958	0.6137	394 N	0.2901	-0.3125	football	398	1088 m^3	0.2865
2	1197 m	0.8637	ice hockey	pig	0.4927	262	1.5939	527 N	0.1715	0.9802	ice hockey	994	1436 m^3	1.0078
4	1523 m	0.4387	badminton	ferret, fish, rabbit, rat	1.7538	257	0.2643	796 N	0.732	0.5558	baseball	786	1318 m^3	0.3374
4	640 m	0.3353	football	ferret, chicken, rat, rabbit	0.4412	126	0.537	N/A	0.9068	0.6996	N/A	169	719 m^3	0.1797
3	479 m	1.061	motor sports	hamster	0.5152	308	0.2777	448 N	0.3414	0.9225	soccer	657	157 m^3	0.8742
3	840 m	0.5148	basketball	hamster	0.0921	465	-0.1586	-44 N	0.7158	1.1365	boxing	83	-40 m^3	1.0779
0	914 m	0.106	golf	guinea pig	1.4702	962	1.3651	742 N	0.1858	0.3801	tennis	343	1251 m^3	0.1673
2	1008 m	0.2162	ice hockey	pig	0.3648	377	0.6554	390 N	0.3086	0.8425	ice hockey	1596	1242 m^3	0.8685
1	707 m	0.0398	tennis	cat	N/A	845	0.9108	1221 N	0.2066	1.6752	running	899	967 m^3	1.3222
1	689 m	0.5825	soccer	dog	0.7918	917	0.5471	563 N	-0.2844	1.3055	golf	279	48 m^3	0.5692
2	651 m	0.3283	ice hockey	pig	1.2041	949	1.0477	598 N	-0.1532	0.7428	soccer	1305	907 m^3	0.7801
2	888 m	0.6771	volleyball	pig	0.5021	848	1.0123	124 N	0.4278	0.5746	boxing	1064	710 m^3	0.889
4	1158 m	0.8102	badminton	rat	1.1333	687	1.0614	192 N	1.1164	1.0677	?	76	564 m^3	0.3555
1	1413 m	-0.4273	baseball	cat	0.8911	1327	0.7776	754 N	0.0884	0.4795	Golf	1378	827 m^3	1.3892
1	1060 m	0.4071	tennis	cat	1.7583	411	1.1518	92 N	-0.3122	1.5638	basketball	705	247 m^3	0.715
3	610 m	0.661	basketball	hamster	0.3284	1196	0.0453	-104 N	1.0876	0.7446	boxing	1138	136 m^3	1.0343
1	959 m	0.2101	soccer	dog	1.1542	592	0.4882	331 N	0.1863	0.6781	basketball	1246	675 m^3	1.1559
2	668 m	0.4462	badminton	pig	0.9809	853	0.5935	599 N	0.5158	0.6272	track & field	1043	619 m^3	0.8219
0	1038 m	1.2221	golf	guinea pig, bird	0.8985	1005	0.7106	1209 N	0.2982	0.3979	motor sports	126	758 m^3	1.0872
2	-434 m	0.8072	ice hockey	pig	1.111	846	0.4497	516 N	0.0315	0.9339	track & field	658	1749 m^3	0.2593
3	769 m	0.7657	motor sports	hamster	0.6426	383	-0.1322	635 N	0.5287	1.3445	motor sports	869	825 m^3	0.6995
2	437 m	0.0001	baseball	pig	1.4763	1384	0.5101	293 N	-0.1229	1.01	ice hockey	n/a	889 m^3	1.1179
0	989 m	-0.3234	football	N/A	0.9717	986	0.8012	759 N	0.5992	0.7497	tennis	840	1260 m^3	0.8318
4	965 m	0.574	badminton	rat, fish, ferret, chicken	0.8759	74	0.254	1536 N	0.6453	1.5076	baseball	881	665 m^3	0.1217
0	733 m	0.3429	boxing	guinea pig, reptile	?	812	1.429	968 N	0.3388	0.1411	MOTOR SPORTS	910	570 m^3	0.1723
0	1136 m	-0.2253	boxing	bird	1.3343	743	0.9261	1362 N	0.2722	0.8994	boxing	830	798 m^3	0.5707
1	864 m	0.668	TENNIS	cat	0.7632	1393	1.0242	662 N	0.009	0.7739	badminton	1059	1261 m^3	1.1783
0	1303 m	-0.0277	running	reptile	1.0474	837	1.3138	1432 N	-0.0425	0.6277	motor sports	470	1011 m^3	0.1554
1	1260 m	0.528	track & field	cat	0.2847	1367	0.8138	328 N	0.3209	0.8444	badminton	1400	1337 m^3	1.024
1	890 m	-0.1179	tennis	cat	0.7147	1316	0.9855	80 N	0.453	0.8019	golf	609	478 m^3	1.1761
2	338 m	0.7872	Basketball	pig	0.5338	475	0.9665	362 N	0.1016	1.4157	track & field	1234	1464 m^3	1.3326
2	228 m	0.1017	ice hockey	pig	0.6341	526	0.8376	1318 N	0.4869	0.8273	ice hockey	1224	1473 m^3	0.6587
2	953 m	0.7163	ice hockey	pig	0.7911	991	1.1516	751 N	0.3052	0.6264	football	1158	969 m^3	0.5264
